Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
N.V. BESIX S.A.,0413.630.071,BE0413.630.071,adrien.theunissen@besix.com,Geverifieerd,+32 473 30 92 88,Geverifieerd,www.besix.be,besix,,Bouw - Woningbouw,41201 - 41201 - 45212 - 45212,,,500 - 1K,>€500M,app.bizzy.org/BE/0413630.071?utm_source=export&utm_medium=lists_xlsx
Tessenderlo Group,0412.101.728,BE0412.101.728,info@tessenderlo.com,Geverifieerd,+32 2 639 18 11,Geverifieerd,www.tessenderlo.com,tessenderlo,"Tessenderlo Group exploiteert een 425 MW gecombineerde cyclus gas turbine elektriciteitscentrale, die efficiënte en milieuvriendelijke elektriciteitsproductie biedt. Het maakt deel uit van de Tessenderlo Groep en fungeert als een Onafhankelijke Energieproducent.",Vervaardiging van chemische producten,20130 - 20130,Brussel,"Rue du Trône 130, 1050 Ixelles",500 - 1K,€100M - €500M,app.bizzy.org/BE/0412101.728?utm_source=export&utm_medium=lists_xlsx
STADSBADER,0407.975.466,BE0407.975.466,info@stadsbader.com,Geverifieerd,+32 9 280 99 99,Geverifieerd,www.stadsbader.com,stadsbader,"STADSBADER is gespecialiseerd in multidisciplinaire projecten op het gebied van bouw, infrastructuur, techniek en civiele werken, met de nadruk op kwaliteit, innovatie en duurzaamheid. Met een sterk team van 1.900 professionals bieden zij op maat gemaakte oplossingen voor zowel particuliere als publieke klanten.",Bouw - Bouw van infrastructuur - Woningbouw,41201 - 42110 - 42110 - 42130,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",500 - 1K,€100M - €500M,app.bizzy.org/BE/0407975.466?utm_source=export&utm_medium=lists_xlsx
ALHEEMBOUW,0428.936.572,BE0428.936.572,info@alheembouw.be,Geverifieerd,+32 51 22 15 86,Geverifieerd,www.alheembouw.be,alheembouw,"ALHEEMBOUW NV is een consortium dat de voormalige wijnhandel CINOCO heeft omgezet in een Nederlandstalige school, die een unieke combinatie van algemeen, technisch en beroepsonderwijs biedt binnen twee studierichtingen: STEM en Samenleving en Welzijn. De school heeft als doel te voldoen aan de capaciteitsbehoeften in het voortgezet onderwijs en actief deel te nemen aan gemeenschapsopbouw.",Bouw - Bouw van kantoorgebouwen - Woningbouw,41201 - 41201 - 41202 - 41203,West-Vlaanderen,"Roeselarestraat 205, 8840 Staden",100 - 200,€100M - €500M,app.bizzy.org/BE/0428936.572?utm_source=export&utm_medium=lists_xlsx
TUC RAIL,0447.914.029,BE0447.914.029,info@tucrail.be,Geverifieerd,+32 2 432 78 11,Geverifieerd,www.tucrail.be,tucrail,"TUC RAIL is een Belgisch ingenieurs- en projectmanagementbureau dat gespecialiseerd is in spoorwegtechnologie en infrastructuur. Met meer dan 30 jaar ervaring hebben ze gewerkt aan grote spoorwegprojecten zowel in België als in het buitenland, met de focus op duurzame mobiliteit en het bieden van innovatieve oplossingen.",Spoorwegvervoer,62020 - 62090 - 71121 - 71121 - 71122,Brussel,"Fonsnylaan 39, 1060 Saint-Gilles",500 - 1K,€100M - €500M,app.bizzy.org/BE/0447914.029?utm_source=export&utm_medium=lists_xlsx
BESIX Unitec,0404.627.679,BE0404.627.679,info.unitec@besix.com,Geverifieerd,+32 3 610 10 00,Geverifieerd,www.besixunitec.com,besixunitec,"BESIX Unitec biedt complete oplossingen voor netwerken in nutsvoorzieningen en telecom, technische infrastructuur langs wegen, spoorwegen, waterwegen en in tunnels, evenals elektrotechnische installaties voor industriële machinebouw.",Bouw - Bouw van infrastructuur - Elektrische installatiewerkzaamheden - Groothandel in bouwproducten - Woningbouw,41201 - 41203 - 42220 - 42220 - 43211 - 46731 - 49410,Antwerpen,"Steenwinkelstraat 640, 2627 Schelle",500 - 1K,€100M - €500M,app.bizzy.org/BE/0404627.679?utm_source=export&utm_medium=lists_xlsx
Vandenbussche,0433.164.683,BE0433.164.683,info@vandenbusschebouw.be,Geverifieerd,+32 9 325 75 47,Geverifieerd,www.vandenbusschebouw.be,vandenbusschebouw,"VANDENBUSSCHE NV is een algemeen aannemersbedrijf in klasse 8 dat gespecialiseerd is in nieuwbouw- en renovatieprojecten voor appartementen, kantoren, scholen, zorgcentra en sportcomplexen. Ze bieden een scala aan diensten aan, van studie en ontwerp tot constructie en afwerking, waarbij zowel traditionele als innovatieve bouwmethoden worden toegepast.",Bouw - Bouw van kantoorgebouwen - Groothandel in bouwproducten - Woningbouw,41101 - 41201 - 41202 - 41203 - 41203 - 43110 - 43120 - 43994 - 46739 - 70220,Oost-Vlaanderen,"Groendreef 21, 9880 Aalter",100 - 200,€100M - €500M,app.bizzy.org/BE/0433164.683?utm_source=export&utm_medium=lists_xlsx
HOUBEN,0416.669.933,BE0416.669.933,info@houbennv.be,Geverifieerd,+32 11 26 96 00,Geverifieerd,www.houbennv.be,houbennv,"HOUBEN nv is een vooruitstrevend bouwbedrijf dat zich richt op samenwerking en bouwen voor de toekomst. Ze bieden een complete service, delen hun kennis en leveren duurzame projecten met een langetermijnvisie.",Bouw,41203 - 41203 - 43331 - 43999,Limburg,"Prins-Bisschopssingel 36/ 5, 3500 Hasselt",100 - 200,€100M - €500M,app.bizzy.org/BE/0416669.933?utm_source=export&utm_medium=lists_xlsx
EEG,0442.891.013,BE0442.891.013,info@eeg.be,Geverifieerd,+32 81 21 27 02,Geverifieerd,www.eeg.be,eeg,,Bouw - Elektrische installatiewerkzaamheden,43211 - 43211 - 43221 - 43222 - 45310 - 45310 - 71121,,,200 - 500,€100M - €500M,app.bizzy.org/BE/0442891.013?utm_source=export&utm_medium=lists_xlsx
BEDRIJFSBOUW EN PROJECTBOUW VERELST,0419.455.714,BE0419.455.714,info@verelst.be,Geverifieerd,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"Verelst biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Bouw - Detailhandel in bouwproducten - Groothandel in bouwproducten - Woningbouw,41201 - 41203 - 41203 - 46731 - 47521,Antwerpen,"Klein Boom 15, 2580 Putte",100 - 200,€50M - €100M,app.bizzy.org/BE/0419455.714?utm_source=export&utm_medium=lists_xlsx
